id,city,state,country
a031a30b-3509-461c-a0d9-d08e83464101,Tongshan,Jiangsu,China
9d3a59b8-5d05-4ed7-afa4-5b7870e70f1f,Riverside,California,United States
fcf3160e-1726-49ad-9854-cfb025869f25,Linyi,Shandong,China
6bd675b2-ed0b-476d-b717-b222a7dd7b30,St. Louis,Missouri,United States
0c1a2ace-9fb3-4d5b-82ae-4873377636e6,Las Vegas,Nevada,United States
09af8ba2-afa5-470c-a1bd-402d8868af40,Maracaibo,Zulia,Venezuela
46fd609e-be85-43dd-8798-fd07c9930b19,Kuwait City,Al ‘Āşimah,Kuwait
569530b7-3a5c-4b78-bd14-cbeb09ffb637,Ad Dammam,Ash Sharqīyah,Saudi Arabia
74436523-7488-4875-9e61-b685a5d08ab6,Portland,Oregon,United States
03c9e063-b5bb-4784-8eb5-816563ac8b0a,Haikou,Hainan,China
0a6cdaf2-c50f-4a41-a2d4-7bb6085c8010,Hiroshima,Hiroshima,Japan
79dea24d-5141-4eb3-9704-f19a7431e8fb,Baotou,Inner Mongolia,China
cd9f1379-88c8-442a-85d5-938a4882ad30,Hefei,Anhui,China
47e8b38a-ced6-4fcb-b241-3d5db5537897,Indore,Madhya Pradesh,India
0f401e0c-4e3a-4da2-b1ff-f63a73bcc02d,Goiania,Goiás,Brazil
034e017e-85ac-4c2f-806d-b4db082c3696,Sanaa,Amānat al ‘Āşimah,Yemen
82a0ac75-06a8-4d34-b81c-62aab26ae134,San Antonio,Texas,United States
b2394dee-6afe-489b-a5e1-c7a4cb0248cb,Port-au-Prince,Ouest,Haiti
e4e9409b-bbb1-4daa-80f0-d649f1d0b489,Haiphong,Hải Phòng,Vietnam
73fe4956-649c-4ce0-85d2-6bbde4d9261c,Suzhou,Anhui,China
43d58088-51f5-42c2-ba30-8d5d4a92ba76,Nanyang,Henan,China
d0c2d038-723e-4251-b956-3c3d524456dd,Bucharest,Bucureşti,Romania
0fe0ab99-1eb0-4a1a-89f5-67d6e0e6c8cf,Ningbo,Zhejiang,China
403f4234-05f8-46bb-b718-02a6786e6de3,Douala,Littoral,Cameroon
70665d0a-4442-4807-9b51-09e1023ee81a,Tangshan,Hebei,China
918de990-1465-4572-9025-20b782df10c2,Tainan,Tainan,Taiwan
ade21762-4ce9-4686-9a6d-2a0453454597,Xiping,Shanxi,China
f955d012-0aab-4fc6-b848-e0fcf137aa50,Asuncion,Asunción,Paraguay
ceaf5183-b1dc-4357-a621-5ccea156a592,Saidu Sharif,Khyber Pakhtunkhwa,Pakistan
9ed92f38-f753-4950-ba07-7d96f764bd96,Brisbane,Queensland,Australia
3706d2d4-f5b7-4a18-8d7e-5da17b2da0ea,Rawalpindi,Punjab,Pakistan
f0f080e5-65ea-45fd-97f5-3146afbb8bdb,Sacramento,California,United States
4f59287c-f642-45c0-956e-0226182f1a37,Beirut,Beyrouth,Lebanon
14efd07d-ed62-4e6d-ac13-b70435fcd370,San Jose,California,United States
f6e3d0e8-6b24-4366-b250-f8895b8cb2ee,Minsk,Minsk,Belarus
80de168a-2dd8-4e9e-9297-311d6c527f23,Kyoto,Kyōto,Japan
12a80c79-1c38-4507-a1ed-ce5d7dba77a9,Barranquilla,Atlántico,Colombia
0648a3df-8c6d-49ee-bfdc-c3f6adbdd729,Orlando,Florida,United States
b4c630b3-0133-4339-a6b5-bfaefd2e2134,Shuyangzha,Jiangsu,China
cbf604a7-3c51-41e4-ade1-a93c069c161c,Valencia,Carabobo,Venezuela
57f8b1a1-77a7-40fc-ab90-16bf79ed1ee8,Hamburg,Hamburg,Germany
77da4d34-e393-4591-994f-25dee5d61dcb,Vadodara,Gujarāt,India
a9715b63-0f00-4f9a-9025-caa9f3e789e1,Manaus,Amazonas,Brazil
e9aade05-18d0-41fb-9fa3-8c8d6ac8538f,Shangqiu,Henan,China
49a61972-f509-4073-b623-31ff5fd61ce7,Wuxi,Jiangsu,China
f62ce638-3656-4e3e-8001-f2e65b9c9910,Palembang,Sumatera Selatan,Indonesia
779c45af-2768-476e-8493-69e41a11a872,Brussels,Brussels-Capital Region,Belgium
e30a9aa2-227e-464a-a337-8c0786a60bdb,Essen,North Rhine-Westphalia,Germany
cdb12137-0597-4ccc-9ffe-f99bd1f1f890,Cleveland,Ohio,United States
